sep=,
mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
248,2,1021,13228984,59.4036611,24.6858364,-60,1512924157000,11.7,11.50283,298.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4039143,24.6849076,-60,1512924162000,12.8,12.045182,299.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4044104,24.6830837,-62,1512924172000,13.3,10.363254,297.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4046095,24.6823055,-51,1512924177000,9.9,8.924422,296.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4047309,24.681839,-51,1512924182000,11.3,2.0886486,295.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4047265,24.6817845,-52,1512924192000,8.9,0.0,233.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4047265,24.6817845,-55,1512924202000,12.0,0.0,233.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4047265,24.6817845,-55,1512924207000,9.7,0.0,233.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4047455,24.6817525,-55,1512924212000,7.3,2.9436557,301.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4050075,24.6803228,-55,1512924222000,11.0,13.185594,269.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4050198,24.6791783,-60,1512924227000,14.7,12.492926,271.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4050448,24.6780183,-62,1512924232000,11.1,12.9065895,270.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4049051,24.6764073,-67,1512924242000,6.4,4.2818522,259.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4048351,24.675729,-67,1512924247000,10.8,10.1813,256.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4047279,24.6746788,-70,1512924252000,9.5,13.790471,258.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4044491,24.6723986,-60,1512924262000,9.6,13.791825,256.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.404178,24.6703074,-62,1512924272000,7.6,10.567371,253.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4037887,24.6691663,-66,1512924282000,5.5,9.408158,164.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4032944,24.6694696,-68,1512924287000,11.5,14.512484,168.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.402015,24.6701126,-66,1512924297000,5.0,13.74765,165.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4014177,24.6704,-61,1512924302000,5.2,13.497806,166.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4003162,24.6709736,-61,1512924312000,5.8,9.8720045,165.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4001185,24.6710696,-63,1512924317000,4.8,0.27276096,205.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4001257,24.6710563,-63,1512924322000,6.4,0.0,286.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4000588,24.6710673,-64,1512924327000,5.7,3.9940596,171.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4000358,24.6727801,-58,1512924337000,3.9,13.578692,75.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4003276,24.6750248,-60,1512924347000,5.9,12.758378,76.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.400668,24.677029,-52,1512924357000,8.0,8.8388815,64.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4007975,24.6776968,-54,1512924362000,5.5,6.956799,31.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4015822,24.6777377,-58,1512924372000,6.9,10.421001,30.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.402017,24.6782059,-60,1512924377000,6.7,10.49221,27.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4027936,24.6790459,-72,1512924387000,5.1,9.609306,28.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4032212,24.679504,-67,1512924392000,4.9,12.224266,28.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4041665,24.6805143,-68,1512924402000,5.7,12.3192005,32.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4046379,24.6810377,-65,1512924407000,5.7,9.444273,27.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4048212,24.6813535,-65,1512924412000,4.7,4.638885,90.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4045888,24.6823986,-55,1512924422000,8.5,0.29243428,126.0,HSPA,,-1,,,,,
